,0
0,0.056056758
1,0.596018264
2,0.014041783
3,0.029686846
4,0.026270461
5,0.003636006
6,0.039452204
7,0.004738623
8,0.99082547
9,0.033468976
10,0.063450314
11,0.049663462
12,0.505185433
13,0.287161922
14,0.065539567
15,0.004000167
16,0.079934916
17,0.138997455
18,0.045918678
19,0.069897732
20,0.001768058
21,0.024374719
22,0.984945353
23,0.120036944
24,0.017666342
25,0.039198768
26,0.237867193
27,0.854840008
28,0.019483029
29,0.226733129
30,0.004948885
31,0.999950456
32,0.011259834
33,0.009032668
34,0.191397439
35,0.268539587
36,0.423976747
37,0.028824252
38,0.020417337
39,0.201521047
40,0.234781387
41,0.034980353
42,0.03790612
43,0.842935831
44,0.042984765
45,0.016677737
46,0.073355384
47,0.024657867
48,0.017098604
49,0.016729295
50,0.016514051
51,0.127446764
52,0.520203129
53,0.457584942
54,0.48493282
55,0.042023538
56,0.038858665
57,0.06410042
58,0.04365525
59,0.565580672
60,0.13767889
61,0.363836044
62,0.998953081
63,0.005378915
64,0.04049907
65,0.012127938
66,0.009043508
67,0.181231212
68,0.999948522
69,0.064007644
70,0.040527699
71,0.053343716
72,0.90724442
73,0.005204625
74,0.548712075
75,0.904470294
76,0.013369001
77,0.226793682
78,0.007222942
79,0.082353905
80,0.070469884
81,0.053719037
82,0.859090393
83,0.001541547
84,0.013506875
85,0.068529996
86,0.219572675
87,0.996763121
88,0.004174038
89,0.014400645
90,0.891202669
91,0.072240895
92,0.068588487
93,0.022849551
94,0.005700261
95,0.215656855
96,0.155340356
97,0.300420576
98,0.189286461
99,0.005323205
100,0.047550417
101,0.015217441
102,0.813543742
103,0.091992425
104,0.011892523
105,0.225395418
106,0.265022503
107,0.044918595
108,0.043003142
109,0.021573398
110,0.88064563
111,0.148806982
112,0.367366165
113,0.001929637
114,0.081116266
115,0.036394892
116,0.008895526
117,0.036386644
118,0.380045854
119,0.390126389
120,0.071612284
121,0.003740134
122,0.001912266
123,0.018116184
124,0.01143488
125,0.01282539
126,0.001296483
127,0.999527114
128,0.002130688
129,0.079095211
130,0.997599239
131,0.001324251
132,0.053961655
133,0.227602428
134,0.131414637
135,0.994669521
136,0.023992895
137,0.954768069
138,0.044248956
139,0.00294059
140,0.029152862
141,0.99971089
142,0.381848285
143,0.720628367
144,0.056588213
145,0.043681804
146,0.300077089
147,0.115695998
148,0.371745246
149,0.019688607
150,0.108233892
151,0.33081171
152,0.633259619
153,0.047981678
154,0.999985278
155,0.003738644
156,0.010163123
157,0.265142077
158,0.991812694
159,0.135527089
160,0.785372721
161,0.777225386
162,0.098754639
163,0.100710465
164,0.997988533
165,0.033228101
166,0.003758506
167,0.026493494
168,0.298299427
169,0.005522082
170,0.065219591
171,0.02685483
172,0.076743013
173,0.130399175
174,0.021397624
175,0.115885336
176,0.050331313
177,0.020261486
178,0.468501468
179,0.019143875
180,0.501910878
181,0.002818005
182,0.02440514
183,0.002125509
184,0.147029109
185,0.004977028
186,0.302074059
187,0.044037873
188,0.161848131
189,0.998768705
190,0.002494315
191,0.074380691
192,0.999965527
193,0.008589265
194,0.085433818
195,0.046151649
196,0.417355016
197,0.008529522
198,0.075243695
199,0.011863749
200,0.495696644
201,0.55470018
202,0.046406761
203,0.554308577
204,0.520087638
205,0.046835971
206,0.342894238
207,0.09450447
208,0.802761887
209,0.016924553
210,0.961783606
211,0.011935716
212,0.063699696
213,0.001248159
214,0.020078597
215,0.166354209
216,0.007449921
217,0.077619651
218,0.047282418
219,0.335971934
220,0.040268074
221,0.047925267
222,0.086818356
223,0.0448109
224,0.322015614
225,0.370413964
226,0.436345962
227,0.009959222
228,0.896446406
229,0.031101794
230,0.91643842
231,0.949038013
232,0.010173511
233,0.002939363
234,0.034342062
235,0.998379468
236,0.789118407
237,0.008061708
238,0.066149316
239,0.014690263
240,0.031707065
241,0.013797751
242,0.109983123
243,0.025017394
244,0.014638583
245,0.061470788
246,0.441830604
247,0.972134604
248,0.023582286
249,0.919633219
250,0.997690775
251,0.145980468
252,0.022467204
253,0.005001812
254,0.11566786
255,0.038250618
256,0.030596259
257,0.859514422
258,0.91506712
259,0.478489435
260,0.07302049
261,0.240461182
262,0.123180813
263,0.006461523
264,0.061332684
265,0.615183316
266,0.029835877
267,0.992982248
268,0.196415441
269,0.777305101
270,0.534547486
271,0.001040108
272,0.113920384
273,0.00556153
274,0.335766638
275,0.110717578
276,0.775157892
277,0.016304926
278,0.093555646
279,0.204530396
280,0.016615702
281,0.233350929
282,0.040495332
283,0.350534816
284,0.491205674
285,0.617604332
286,0.018445851
287,0.999891764
288,0.03775322
289,0.00188424
290,0.42578517
291,0.714580551
292,0.105968453
293,0.348111283
294,0.048649487
295,0.013251939
296,0.021109603
297,0.001665705
298,0.003497472
299,0.18251609
300,0.097208751
301,0.048866011
302,0.874268965
303,0.023256923
304,0.025429656
305,0.004006371
306,0.038993438
307,0.013078819
308,0.293572049
309,0.01327385
310,0.022474577
311,0.175106112
312,0.758981148
313,0.011867049
314,0.020438415
315,0.087745649
316,0.003955915
317,0.524061256
318,0.999546525
319,0.005919459
320,0.066962743
321,0.076529621
322,0.040046723
323,0.984190069
324,0.0066557
325,0.003793766
326,0.096883442
327,0.98269335
328,0.08999361
329,0.676581443
330,0.081559607
331,0.854205885
332,0.332358371
333,0.0230617
334,0.027236878
335,0.029461503
336,0.24837872
337,0.057998426
338,0.078808909
339,0.198460467
340,0.850538616
341,0.01044867
342,0.040562126
343,0.257044818
344,0.544747465
345,0.153433811
346,0.001440914
347,0.043297371
348,0.059124052
349,0.248080676
350,0.957192331
351,0.017639135
352,0.067542558
353,0.001991027
354,0.010986998
355,0.042505494
356,0.004300817
357,0.022986136
358,0.127926196
359,0.019880888
360,0.586623635
361,0.146257601
362,0.011108451
363,0.576991927
364,0.168797812
365,0.663727755
366,0.029593143
367,0.03864207
368,0.044373462
369,0.361311802
370,0.088911401
371,0.015444438
372,0.00861974
373,0.009928878
374,0.015085271
375,0.077061722
376,0.045756853
377,0.017041434
378,0.009924301
379,0.16667519
380,0.132652972
381,0.015298157
382,0.424611313
383,0.538526245
384,0.04162782
385,0.117331005
386,0.129984619
387,0.003561662
388,0.142421846
389,0.076900991
390,0.979130273
391,0.640433348
392,0.00476975
393,0.177460651
394,0.08143488
395,0.009510767
396,0.004650429
397,0.856040076
398,0.024373768
399,0.471251876
400,0.034966324
401,0.002212902
402,0.969863965
403,0.038006522
404,0.002397817
405,0.00987202
406,0.057691586
407,0.004878641
408,0.008125975
409,0.031782281
410,0.781056279
411,0.010949112
412,0.720201408
413,0.069576811
414,0.050477961
415,0.198593525
416,0.007738745
417,0.082476178
418,0.096069436
419,0.618813777
420,0.067340927
421,0.02114476
422,0.073701736
423,0.140694356
424,0.014552087
425,0.043073593
426,0.060757502
427,0.347415319
428,0.306606831
429,0.353757301
430,0.998289293
431,0.286821632
432,0.004740721
433,0.415252731
434,0.926939295
435,0.180148057
436,0.234769964
437,0.372714878
438,0.00275367
439,0.640881803
440,0.06410911
441,0.150932815
442,0.802973577
443,0.217494087
444,0.011060632
445,0.005157848
446,0.011359737
447,0.06516203
448,0.193574506
449,0.021592194
450,0.138041038
451,0.151075606
452,0.4121475
453,0.017273606
454,0.002763415
455,0.026274073
456,0.014960046
457,0.048379369
458,0.331435158
459,0.999999889
460,0.999993566
461,0.0814251
462,0.087792838
463,0.014877697
464,0.026716156
465,0.35147294
466,0.084477156
467,0.047924564
468,0.027744592
469,0.061861536
470,0.011169237
471,0.406663892
472,0.975664226
473,0.000233584
474,0.013792205
475,0.020479664
476,0.136613137
477,0.024219439
478,0.145256904
479,0.087504358
480,0.789756042
481,0.862305512
482,0.074129199
483,0.013512102
484,0.112075551
485,0.30245211
486,0.909673189
487,0.030473942
488,0.180320712
489,0.25251928
490,0.123608174
491,0.841689264
492,0.005917119
493,0.026274434
494,0.9527994
495,0.614485557
496,0.005040529
497,0.085227634
498,0.026837725
499,0.006441378
500,0.615680825
501,0.028368429
502,0.005682913
503,0.198007505
504,0.005940502
505,0.003146651
506,0.011684656
507,0.023946643
508,0.029507988
509,0.124156054
510,0.223462017
511,0.766811465
512,0.031326428
513,0.121272123
514,0.118423121
515,0.574721552
516,0.049166801
